size,channels,pr,sr,h,sigma,kernel_ver,kernel_ms,e2e_ms,mpx_s,cpu_ms,speedup
1920x1080,1,3,10,10,25,0,422.151,426.491,4.91198,-1,-1
1920x1080,1,3,10,10,25,1,197.33,201.464,10.5083,-1,-1
1920x1080,1,3,10,10,25,2,152.199,155.809,13.6243,-1,-1
1920x1080,1,3,10,15,25,0,404.96,421.488,5.1205,-1,-1
1920x1080,1,3,10,15,25,1,187.304,199.081,11.0708,-1,-1
1920x1080,1,3,10,15,25,2,148.226,156.576,13.9894,-1,-1
1920x1080,1,2,7,10,15,0,111.487,119.248,18.5995,-1,-1
1920x1080,1,2,7,10,15,1,49.8289,57.7302,41.6144,-1,-1
1920x1080,1,2,7,10,15,2,38.5659,41.934,53.7677,-1,-1
1920x1080,1,4,14,12,35,0,1286.27,1346.18,1.6121,-1,-1
1920x1080,1,4,14,12,35,1,598.219,614.698,3.46629,-1,-1
1920x1080,1,4,14,12,35,2,587.015,627.243,3.53245,-1,-1
1920x1080,3,3,10,10,25,0,870.892,893.541,2.38101,-1,-1
1920x1080,3,3,10,10,25,1,365.143,392.385,5.67887,-1,-1
1920x1080,3,3,10,10,25,2,353.994,374.229,5.85773,-1,-1
1920x1080,3,3,10,15,25,0,844.082,905.64,2.45663,-1,-1
1920x1080,3,3,10,15,25,1,397.056,412.219,5.22244,-1,-1
1920x1080,3,3,10,15,25,2,380.475,397.698,5.45002,-1,-1
1920x1080,3,2,7,10,15,0,234.539,248.302,8.84117,-1,-1
1920x1080,3,2,7,10,15,1,104.366,116.672,19.8685,-1,-1
1920x1080,3,2,7,10,15,2,97.3568,108.617,21.299,-1,-1
1920x1080,3,4,14,12,35,0,2684.31,2857.94,0.77249,-1,-1
1920x1080,3,4,14,12,35,1,1504.75,1535.02,1.37804,-1,-1
1920x1080,3,4,14,12,35,2,1538.15,1549.59,1.34811,-1,-1
3840x2160,1,3,10,10,25,0,2017.37,2039.27,4.1115,-1,-1
3840x2160,1,3,10,10,25,1,878.583,900.289,9.44066,-1,-1
3840x2160,1,3,10,10,25,2,693.923,709.221,11.9529,-1,-1
3840x2160,1,3,10,15,25,0,1991.97,2011.27,4.16392,-1,-1
3840x2160,1,3,10,15,25,1,875.186,897.331,9.4773,-1,-1
3840x2160,1,3,10,15,25,2,715.99,730.313,11.5845,-1,-1
3840x2160,1,2,7,10,15,0,509.793,565.186,16.2701,-1,-1
3840x2160,1,2,7,10,15,1,224.844,246.884,36.8896,-1,-1
3840x2160,1,2,7,10,15,2,165.908,175.714,49.9938,-1,-1
3840x2160,1,4,14,12,35,0,6134.59,6300.13,1.35207,-1,-1
3840x2160,1,4,14,12,35,1,2766.1,2799.31,2.99859,-1,-1
3840x2160,1,4,14,12,35,2,2692.87,2748.51,3.08014,-1,-1
3840x2160,3,3,10,10,25,0,3771.64,3868.83,2.19915,-1,-1
3840x2160,3,3,10,10,25,1,1706.93,1730.46,4.85926,-1,-1
3840x2160,3,3,10,10,25,2,1659.49,1691.04,4.99815,-1,-1
3840x2160,3,3,10,15,25,0,3807.33,3845.76,2.17854,-1,-1
3840x2160,3,3,10,15,25,1,1725.52,1746,4.8069,-1,-1
3840x2160,3,3,10,15,25,2,1670.13,1693.09,4.96631,-1,-1
3840x2160,3,2,7,10,15,0,1027.49,1055.27,8.07247,-1,-1
3840x2160,3,2,7,10,15,1,473.802,495.377,17.5061,-1,-1
3840x2160,3,2,7,10,15,2,441.068,461.316,18.8053,-1,-1
3840x2160,3,4,14,12,35,0,11574,11860.4,0.716639,-1,-1
3840x2160,3,4,14,12,35,1,6285.2,6323.47,1.31967,-1,-1
3840x2160,3,4,14,12,35,2,6316.24,6512.54,1.31319,-1,-1
